Date,Open,High,Low,Close,Volume
2022-06-20,5084.3701,5098.4800,5051.9600,5084.3701,0
2022-06-22,5056.3701,5101.3101,5056.3701,5056.3701,0
2022-06-23,4934.8101,5095.5098,4924.5601,4934.8101,0
2022-06-24,4983.6602,5016.3398,4934.8101,4983.6602,0
2022-06-28,5004.4800,5075.9399,4937.7598,5004.4800,0
2022-06-29,5009.6299,5019.6201,4978.0200,5009.6299,0
2022-06-30,4950.3901,5009.6299,4950.3901,4950.3901,0
2022-07-01,4993.3701,5006.1699,4950.3901,4993.3701,0
2022-07-04,4989.0698,5001.6299,4969.7998,4989.0698,0
2022-07-05,5003.8101,5007.7900,4935.7100,5003.8101,0
2022-07-06,5006.9502,5043.6699,4979.5298,5006.9502,0
2022-07-07,5101.4199,5105.4302,5006.9502,5101.4199,0
2022-07-08,5112.7798,5118.5498,5074.1001,5112.7798,0
2022-07-11,5073.8501,5124.7798,5064.0298,5073.8501,0
2022-07-12,5074.2598,5077.7402,5017.5200,5074.2598,0
2022-07-13,5117.8101,5131.4399,5050.3198,5117.8101,0
2022-07-14,5136.0498,5136.0498,5053.7998,5136.0498,0
2022-07-15,5091.7300,5136.0498,5057.6802,5091.7300,0
2022-07-18,5081.7402,5139.4800,5073.2300,5081.7402,0
2022-07-19,5160.1899,5160.1899,5069.5601,5160.1899,0
2022-07-20,5147.0000,5170.8301,5114.3701,5147.0000,0
2022-07-21,5204.4502,5205.1299,5122.7998,5204.4502,0
2022-07-22,5220.3301,5237.5698,5189.6699,5220.3301,0
2022-07-25,5236.3301,5237.5698,5186.7300,5236.3301,0
2022-07-26,5200.1299,5236.3301,5183.7002,5200.1299,0
2022-07-27,5251.3198,5251.3901,5189.1001,5251.3198,0
2022-07-28,5259.3901,5284.2300,5242.7998,5259.3901,0
2022-07-29,5259.0498,5285.2202,5243.1899,5259.0498,0
2022-08-01,5258.3901,5272.8398,5229.7900,5258.3901,0
2022-08-02,5248.5298,5258.3901,5219.6299,5248.5298,0
2022-08-03,5206.0498,5269.3198,5182.5498,5206.0498,0
2022-08-04,5174.6401,5222.0601,5154.0000,5174.6401,0
2022-08-05,5212.3999,5212.3999,5132.7002,5212.3999,0
2022-08-08,5260.3398,5271.3301,5212.3999,5260.3398,0
2022-08-09,5236.3398,5260.3398,5216.9302,5236.3398,0
2022-08-10,5272.9302,5286.5801,5236.3398,5272.9302,0
2022-08-11,5325.8999,5325.8999,5260.3301,5325.8999,0
2022-08-12,5394.9102,5404.5601,5325.8999,5394.9102,0
2022-08-16,5386.8101,5442.9600,5339.7002,5386.8101,0
2022-08-17,5405.3101,5416.7402,5355.6802,5405.3101,0
2022-08-18,5345.5298,5405.3101,5323.3799,5345.5298,0
2022-08-19,5292.8398,5350.3198,5265.3101,5292.8398,0
2022-08-22,5340.4902,5354.3398,5261.4800,5340.4902,0
2022-08-23,5377.5200,5388.4702,5339.8398,5377.5200,0
2022-08-24,5418.1699,5426.4102,5375.0000,5418.1699,0
2022-08-25,5460.6099,5465.1299,5417.6602,5460.6099,0
2022-08-26,5461.7998,5479.1802,5442.0098,5461.7998,0
2022-08-29,5517.1099,5517.3198,5421.7998,5517.1099,0
2022-08-30,5536.3901,5543.7900,5482.3101,5536.3901,0
2022-08-31,5441.2598,5549.9399,5440.7900,5441.2598,0
2022-09-01,5408.0498,5454.3501,5380.9502,5408.0498,0
2022-09-02,5653.2002,5708.5098,5230.4502,5653.2002,0
2022-09-05,5779.2500,6008.2798,5653.2002,5779.2500,0
2022-09-06,5608.0801,5835.1499,5587.5298,5608.0801,0
2022-09-07,5540.8198,5608.0801,5514.8999,5540.8198,0
2022-09-08,5516.7998,5581.2100,5515.5801,5516.7998,0
2022-09-09,5612.0698,5616.9902,5516.7998,5612.0698,0
2022-09-12,5596.2598,5647.9902,5578.4600,5596.2598,0
2022-09-13,5580.6699,5627.6099,5527.6899,5580.6699,0
2022-09-14,5609.3301,5660.5801,5569.6802,5609.3301,0
2022-09-15,5522.9199,5632.5298,5499.4800,5522.9199,0
2022-09-20,5340.9702,5544.0400,5340.2900,5340.9702,0
2022-09-21,5369.3301,5401.2598,5334.2402,5369.3301,0
2022-09-22,5303.0601,5369.3301,5294.7100,5303.0601,0
